Date,Id,Total electricity consumption,Air Temperature,Radiant Temperature,Operative Temperature,Outside Dry-Bulb Temperature,Glazing,Walls,Ceilings (int),Floors (int),Ground Floors,Partitions (int),Roofs,External Infiltration,External Vent.,General Lighting,Computer + Equip,Occupancy,Solar Gains Interior Windows,Solar Gains Exterior Windows,Zone Sensible Heating,Zone Sensible Cooling,Sensible Cooling,Total Cooling,Mech Vent + Nat Vent + Infiltration
02/01/02,36,38.06,24,28.94,26.47,28.55,8.71,-3.9,-3.91,-7.14,-4.31,-0.19,-0.48,3.09,3.47,10.21,10.01,6.47,0.35,26.83,0,-47.77,-70.88,-70.88,6.58
02/01/02,37,38.52,24,29.27,26.64,29.13,8.43,-3.91,-2.97,-5.27,-3.37,-0.18,1.3,3.47,2.74,10.21,10.01,4.85,0.34,23.36,0,-48,-67.59,-75.28,5.09
02/01/02,38,40.76,24,29.49,26.74,28.58,7.69,-3.82,-2.35,-4.12,-3.14,-0.18,2.14,3.1,2.91,10.21,10.01,4.85,0.29,22.09,0,-48.9,-66.51,-85.35,5.17
02/01/02,39,41.68,24,29.54,26.77,27.7,6.26,-3.28,-1.4,-2.74,-2.74,-0.14,2.57,2.52,2.75,10.21,10.01,6.47,0.22,19.51,0,-49.5,-68.5,-87.16,6.58
02/01/02,40,40.8,24,29.29,26.65,26.77,4.39,-2.04,0.38,-0.5,-1.92,0.01,3.07,1.89,2.31,10.21,10.01,6.47,0.14,13.11,0,-46.83,-61.13,-83.19,6.68
02/01/02,41,39.76,24,29.24,26.62,26.15,4.08,-1.67,0.46,-0.69,-2.5,0.05,2.16,1.47,2.25,10.21,10.01,6.47,0.14,14.47,0,-46.1,-57.19,-78.51,6.92
02/01/02,42,36.82,24,28.92,26.46,25.44,2.63,-0.44,1.81,1.52,-1.22,0.23,2.39,0.98,0.48,10.21,10.01,3.23,0.08,8.28,0,-39.59,-43.39,-70.01,3.61
02/01/02,43,32.19,24,28.34,26.17,24.66,0.59,1.05,3.54,3.82,-0.04,0.43,2.75,0.45,0.16,10.21,10.01,1.62,0,0,0,-34.11,-35.03,-51.55,2.23
02/01/02,44,10.01,27.95,28.16,28.06,23.65,-0.47,-0.14,2.19,1.18,-1.34,0.19,0.62,-2.98,0,0,10.01,0,0,0,0,0,0,0,0.71
02/01/02,45,0.54,27.78,28.16,27.97,22.7,-1.08,-0.03,1.65,0.52,-1.32,0.2,0.09,-3.54,0,0,0.54,0,0,0,0,0,0,0,0.71
02/01/02,46,0.54,26.93,27.93,27.43,21.65,-1.55,0.74,2.14,1.28,-0.91,0.33,0.24,-3.69,0,0,0.54,0,0,0,0,0,0,0,0.71
02/01/02,47,0.54,26.57,27.72,27.14,20.7,-1.78,1.13,2.26,1.6,-0.73,0.4,0.1,-4.11,0,0,0.54,0,0,0,0,0,0,0,0.71
03/01/02,48,0.54,26.25,27.51,26.88,19.65,-2.03,1.42,2.27,1.82,-0.57,0.45,-0.02,-4.64,0,0,0.54,0,0,0,0,0,0,0,0.72
03/01/02,49,0.54,25.91,27.27,26.59,18.7,-2.42,1.73,2.35,2.08,-0.35,0.5,-0.06,-5.08,0,0,0.54,0,0,0,0,0,0,0,0.72
03/01/02,50,0.54,25.56,27.03,26.29,17.65,-2.78,2,2.4,2.31,-0.15,0.54,-0.11,-5.59,0,0,0.54,0,0,0,0,0,0,0,0.72
03/01/02,51,0.54,25.21,26.77,25.99,16.7,-2.93,2.24,2.44,2.55,0.06,0.58,-0.18,-6.03,0,0,0.54,0,0,0,0,0,0,0,0.72
03/01/02,52,0.54,24.85,26.51,25.68,15.65,-3.15,2.44,2.45,2.75,0.26,0.62,-0.24,-6.55,0,0,0.54,0,0,0,0,0,0,0,0.72
03/01/02,53,0.54,24.86,26.31,25.58,17.83,-2.67,2.41,2.23,2.68,0.28,0.62,-0.46,-4.97,0,0,0.54,0,0,0,0,0,0,0,0.72
03/01/02,54,0.54,23.99,26.11,25.05,19.46,-2.08,2.65,2.2,3,0.56,0.67,-0.36,-3.18,0,0,0.54,0,0,0,0,-4.98,0,0,1.8
03/01/02,55,0.54,24,25.89,24.95,20.38,-1.84,2.62,2.09,2.95,0.63,0.66,-0.34,-2.54,0,0,0.54,0,0,0,0,-4.88,0,0,2.09
03/01/02,56,20.74,24,26.1,25.05,21.84,-0.44,0.8,-0.45,-0.22,-1.39,0.38,-2.13,-1.51,-0.04,10.21,10.01,1.62,0.03,4.03,0,-20.01,0,0,10.56
03/01/02,57,27.16,24,26.99,25.49,24.4,3.4,-1.28,-3.47,-6.16,-4.84,0.09,-3.68,0.27,0.2,10.21,10.01,3.23,0.18,21.27,0,-28.09,-26.56,-26.56,6.85
03/01/02,58,34.75,24,27.98,25.99,27.04,6.74,-2.89,-5.03,-9.1,-5.9,-0.1,-3.74,2.07,2.66,10.21,10.01,6.47,0.29,30.51,0,-40.58,-55.99,-55.99,6.71
03/01/02,59,38.95,24,28.65,26.33,29.34,8.15,-3.49,-4.63,-7.91,-4.69,-0.16,-2.16,3.61,4.41,10.21,10.01,6.47,0.31,29.05,0,-47.75,-74.86,-74.86,6.65
03/01/02,60,40.25,24,29.04,26.52,30.14,8.33,-3.61,-3.63,-5.75,-3.54,-0.16,-0.36,4.14,3.52,10.21,10.01,6.47,0.32,24.59,0,-49.38,-80.6,-80.75,6.4
03/01/02,61,41.56,24,29.3,26.65,29.91,7.98,-3.47,-2.65,-4.36,-3.11,-0.14,1.05,4,3.96,10.21,10.01,4.85,0.31,22.1,0,-49.86,-72.54,-88.97,5.22
03/01/02,62,41.6,24,29.35,26.67,28.8,6.49,-3.01,-1.61,-2.45,-2.32,-0.1,2.01,3.25,2.37,10.21,10.01,4.85,0.23,18.25,0,-47.59,-66.1,-89.12,5.04
03/01/02,63,41.72,24,29.2,26.6,28.01,4.94,-2.15,-0.26,-0.94,-2,-0.01,2.51,2.73,4.12,10.21,10.01,6.47,0.16,13.86,0,-48.92,-69.52,-87.33,6.87
03/01/02,64,41.03,24,29.33,26.66,27.4,5.13,-2.22,-0.75,-2.04,-3.16,-0.04,1.5,2.31,2.83,10.21,10.01,6.47,0.19,18.51,0,-48.06,-65.52,-84.22,6.71
03/01/02,65,41.5,24,29.41,26.71,27.29,5.03,-1.75,-0.3,-1.9,-3.1,0.03,1.48,2.24,3.65,10.21,10.01,6.47,0.18,18.22,0,-49.55,-66.42,-86.34,6.99
03/01/02,66,36.96,24,29.16,26.58,26.77,3.62,-0.56,1.27,0.66,-1.59,0.2,2.08,1.89,1.04,10.21,10.01,3.23,0.1,11.18,0,-42.69,-49.86,-70.66,3.64
03/01/02,67,32.04,24,28.51,26.26,26.02,1.16,1.17,3.55,3.9,0.13,0.43,2.9,1.38,0.46,10.21,10.01,1.62,0,0,0,-36.45,-39.09,-50.86,2.21
03/01/02,68,10.01,28.18,28.32,28.25,24.67,-0.46,-0.15,2.16,1.11,-1.37,0.18,0.68,-2.43,0,0,10.01,0,0,0,0,0,0,0,0.71
03/01/02,69,0.54,27.85,28.29,28.07,23.38,-1.33,0.04,1.67,0.56,-1.33,0.2,0.13,-3.11,0,0,0.54,0,0,0,0,0,0,0,0.71
03/01/02,70,0.54,27.07,28.05,27.56,21.94,-1.6,0.81,2.14,1.33,-0.96,0.33,0.1,-3.58,0,0,0.54,0,0,0,0,0,0,0,0.71
03/01/02,71,0.54,26.67,27.82,27.25,20.74,-1.93,1.27,2.28,1.73,-0.75,0.4,-0.08,-4.15,0,0,0.54,0,0,0,0,0,0,0,0.71
04/01/02,72,0.54,26.29,27.58,26.94,19.4,-2.34,1.64,2.36,2.04,-0.54,0.46,-0.21,-4.85,0,0,0.54,0,0,0,0,0,0,0,0.72
04/01/02,73,0.54,25.93,27.34,26.63,18.49,-2.51,1.98,2.42,2.33,-0.33,0.51,-0.32,-5.25,0,0,0.54,0,0,0,0,0,0,0,0.72
04/01/02,74,0.54,25.66,27.11,26.39,17.86,-2.49,2.17,2.34,2.44,-0.2,0.55,-0.46,-5.51,0,0,0.54,0,0,0,0,0,0,0,0.72
04/01/02,75,0.54,25.48,26.9,26.19,18.04,-2.51,2.28,2.23,2.48,-0.08,0.57,-0.53,-5.26,0,0,0.54,0,0,0,0,0,0,0,0.72
04/01/02,76,0.54,25.39,26.72,26.05,18.42,-2.49,2.26,2.02,2.36,-0.03,0.56,-0.62,-4.91,0,0,0.54,0,0,0,0,0,0,0,0.72
04/01/02,77,0.54,25.37,26.56,25.97,19.44,-2.26,2.17,1.78,2.18,-0.01,0.55,-0.71,-4.17,0,0,0.54,0,0,0,0,0,0,0,0.71
04/01/02,78,0.54,24,26.34,25.17,20.13,-1.79,2.81,2.21,3.05,0.6,0.67,-0.26,-2.72,0,0,0.54,0,0,0,0,-6.49,0,0,2.36
04/01/02,79,0.54,24,26.1,25.05,21.01,-1.47,2.81,2.18,3.06,0.65,0.67,-0.2,-2.09,0,0,0.54,0,0,0,0,-6.25,0,0,2.86
04/01/02,80,21.16,24,26.25,25.12,22.44,-0.49,1.06,-0.25,0.18,-1.13,0.39,-1.9,-1.09,0,10.21,10.01,1.62,0.03,3.37,0,-21.17,-1.91,-1.91,13.81
04/01/02,81,28.67,24,26.93,25.46,24.63,2.52,-0.63,-2.77,-4.03,-3.43,0.16,-3.17,0.42,0.28,10.21,10.01,3.23,0.14,16,0,-27.81,-28.29,-33.36,6.75
04/01/02,82,34.21,24,27.62,25.81,27.04,5.12,-1.88,-4.01,-5.87,-4.13,0,-3.21,2.07,2.75,10.21,10.01,6.47,0.21,21.72,0,-38.12,-53.57,-53.57,6.74
04/01/02,83,38.48,24,28.49,26.25,29.21,8.02,-3.04,-4.71,-8.3,-5.31,-0.14,-2.42,3.53,4.08,10.21,10.01,6.47,0.31,29.12,0,-46.29,-72.77,-72.77,6.63
04/01/02,84,41.14,24,28.98,26.49,30.38,8.47,-3.34,-3.99,-6.12,-3.63,-0.15,-0.57,4.3,5.83,10.21,10.01,6.47,0.32,24.84,0,-51.49,-83.92,-84.74,6.74
04/01/02,85,41.96,24,29.22,26.61,30.66,7.86,-3.25,-3,-4.27,-2.9,-0.14,0.93,4.49,3.43,10.21,10.01,4.85,0.29,21.51,0,-49.29,-74.82,-90.78,5.07
04/01/02,86,43.93,24,29.46,26.73,30.01,7.57,-3.16,-2.38,-4.04,-3.28,-0.14,1.61,4.06,3.12,10.21,10.01,4.85,0.29,22.05,0,-49.96,-73.15,-99.63,5.08
04/01/02,87,47.88,24,29.52,26.76,29.1,6.4,-2.61,-1.37,-2.44,-2.57,-0.08,2.17,3.46,4.55,10.21,10.01,6.47,0.21,18.52,0,-52.21,-78.53,-115.08,6.73
04/01/02,88,45.85,24,29.16,26.58,28.05,4.07,-1.06,1.02,0.62,-1.15,0.12,3.22,2.75,3.25,10.21,10.01,6.47,0.1,8.88,0,-47.84,-68.78,-105.92,6.66
04/01/02,89,43.02,24,28.87,26.44,27.23,3.11,-0.39,1.58,1.26,-1.33,0.19,2.57,2.2,2.76,10.21,10.01,6.47,0.07,7.04,0,-45,-61.66,-93.2,6.71
04/01/02,90,37.91,24,28.74,26.37,26.38,2.75,-0.06,1.38,0.98,-1.64,0.23,1.7,1.62,1.17,10.21,10.01,3.23,0.08,8.84,0,-39.84,-46.02,-74.94,3.77
04/01/02,91,32,24,28.24,26.12,25.63,0.91,1.39,3.11,3.44,-0.04,0.44,2.37,1.11,0.35,10.21,10.01,1.62,0,0,0,-34.41,-36.54,-50.68,2.2
04/01/02,92,10.01,28.06,28.1,28.08,24.77,-0.32,0.08,1.81,0.88,-1.34,0.19,0.44,-2.27,0,0,10.01,0,0,0,0,0,0,0,0.71
04/01/02,93,0.54,28,28.12,28.06,24.09,-1.1,0.1,1.29,0.2,-1.31,0.19,0.02,-2.71,0,0,0.54,0,0,0,0,0,0,0,0.71
04/01/02,94,0.54,27.17,27.93,27.55,23.34,-1.39,0.77,1.74,0.88,-0.99,0.3,0.12,-2.67,0,0,0.54,0,0,0,0,0,0,0,0.71
04/01/02,95,0.54,26.89,27.76,27.32,22.63,-1.56,1.07,1.83,1.16,-0.85,0.35,-0.06,-2.97,0,0,0.54,0,0,0,0,0,0,0,0.71
05/01/02,96,0.54,26.62,27.58,27.1,21.71,-1.78,1.31,1.86,1.4,-0.71,0.39,-0.22,-3.43,0,0,0.54,0,0,0,0,0,0,0,0.71
05/01/02,97,0.54,26.32,27.39,26.86,20.86,-1.94,1.55,1.91,1.64,-0.55,0.43,-0.32,-3.82,0,0,0.54,0,0,0,0,0,0,0,0.71
05/01/02,98,0.54,26.06,27.2,26.63,20.1,-2.09,1.73,1.92,1.82,-0.4,0.47,-0.4,-4.18,0,0,0.54,0,0,0,0,0,0,0,0.71
05/01/02,99,0.54,25.83,27,26.41,19.8,-2.33,1.88,1.93,1.98,-0.25,0.49,-0.45,-4.23,0,0,0.54,0,0,0,0,0,0,0,0.71
05/01/02,100,0.54,25.66,26.82,26.24,19.67,-2.29,1.94,1.84,2.02,-0.17,0.5,-0.56,-4.21,0,0,0.54,0,0,0,0,0,0,0,0.71
05/01/02,101,0.54,25.55,26.65,26.1,19.98,-2.29,1.94,1.72,2,-0.09,0.51,-0.62,-3.91,0,0,0.54,0,0,0,0,0,0,0,0.71
05/01/02,102,0.54,25.5,26.51,26,20.45,-2.19,1.87,1.55,1.9,-0.07,0.5,-0.72,-3.54,0,0,0.54,0,0,0,0,0,0,0,0.71
05/01/02,103,0.54,25.5,26.4,25.95,21.1,-1.78,1.73,1.31,1.74,-0.08,0.48,-0.84,-3.08,0,0,0.54,0,0,0,0,0,0,0,0.71
05/01/02,104,0.54,25.66,26.44,26.05,22.4,-0.9,1.15,0.49,0.46,-0.95,0.39,-1.31,-2.27,0,0,0.54,0,0.03,3.08,0,0,0,0,0.71
05/01/02,105,0.54,26.34,27.14,26.74,24.44,1.86,-1.01,-2.48,-4.68,-4.41,0.07,-2.97,-1.32,0,0,0.54,0,0.15,16.75,0,0,0,0,0.7
05/01/02,106,0.54,27.75,28.28,28.02,27.11,4.83,-3.47,-5.45,-9.72,-7.39,-0.27,-3.94,-0.45,0,0,0.54,0,0.27,28.72,0,0,0,0,0.7
05/01/02,107,0.54,29.36,29.43,29.39,29.95,6.94,-5.29,-6.86,-11.44,-7.97,-0.5,-3.52,0.39,0,0,0.54,0,0.33,30.71,0,0,0,0,0.7
05/01/02,108,0.54,30.63,30.34,30.49,32.31,7.97,-6.44,-6.72,-10.74,-7.16,-0.65,-2.37,1.12,0,0,0.54,0,0.36,26.68,0,0,0,0,0.7
05/01/02,109,0.54,31.54,31.15,31.34,33.54,8.28,-7.34,-6.29,-10.47,-6.96,-0.78,-1.35,1.33,0,0,0.54,0,0.38,24.61,0,0,0,0,0.7
05/01/02,110,0.54,32.11,31.83,31.97,33.42,7.81,-7.82,-5.73,-9.68,-6.45,-0.87,-0.55,0.87,0,0,0.54,0,0.31,22.84,0,0,0,0,0.7
05/01/02,111,0.54,32.26,32.08,32.17,32.14,5.44,-7.02,-3.62,-7.27,-5.11,-0.79,0.81,-0.09,0,0,0.54,0,0.19,16.87,0,0,0,0,0.7
05/01/02,112,0.54,32.15,32.32,32.24,30.25,4.03,-6.4,-2.44,-6.88,-5.61,-0.74,1.03,-1.28,0,0,0.54,0,0.18,17.29,0,0,0,0,0.71
05/01/02,113,0.54,31.71,32.19,31.95,28.31,1.87,-4.67,0.01,-4.03,-4.06,-0.5,2.03,-2.3,0,0,0.54,0,0.1,10.03,0,0,0,0,0.71
05/01/02,114,0.54,31.08,31.78,31.43,26.79,0.06,-2.78,2.49,-1.06,-2.78,-0.24,2.54,-2.94,0,0,0.54,0,0.03,3.02,0,0,0,0,0.71
05/01/02,115,0.54,30.48,31.34,30.91,25.8,-1.12,-1.44,3.77,0.65,-2.31,-0.05,2.21,-3.23,0,0,0.54,0,0,0,0,0,0,0,0.71
05/01/02,116,0.54,30.02,31.01,30.52,25.06,-1.58,-0.65,3.93,1.27,-2.31,0.07,1.42,-3.42,0,0,0.54,0,0,0,0,0,0,0,0.71
05/01/02,117,0.54,29.65,30.73,30.19,24.24,-1.8,-0.02,3.85,1.6,-2.2,0.18,0.84,-3.75,0,0,0.54,0,0,0,0,0,0,0,0.71
05/01/02,118,0.54,29.27,30.46,29.86,23.15,-2.11,0.55,3.77,1.87,-2.01,0.27,0.5,-4.24,0,0,0.54,0,0,0,0,0,0,0,0.71
05/01/02,119,0.54,28.84,30.16,29.5,21.89,-2.52,1.09,3.75,2.17,-1.75,0.36,0.28,-4.84,0,0,0.54,0,0,0,0,0,0,0,0.72
06/01/02,120,0.54,28.43,29.88,29.15,20.77,-2.62,1.54,3.68,2.41,-1.51,0.44,0.05,-5.36,0,0,0.54,0,0,0,0,0,0,0,0.72
06/01/02,121,0.54,28.07,29.58,28.83,19.96,-2.89,1.9,3.59,2.6,-1.27,0.51,-0.11,-5.69,0,0,0.54,0,0,0,0,0,0,0,0.72
06/01/02,122,0.54,27.77,29.29,28.53,19.64,-3.06,2.17,3.47,2.73,-1.05,0.55,-0.26,-5.71,0,0,0.54,0,0,0,0,0,0,0,0.72
06/01/02,123,0.54,27.55,29.04,28.3,19.66,-2.94,2.3,3.23,2.7,-0.91,0.58,-0.45,-5.54,0,0,0.54,0,0,0,0,0,0,0,0.72
06/01/02,124,0.54,27.39,28.82,28.1,19.89,-2.71,2.34,2.95,2.6,-0.81,0.59,-0.6,-5.27,0,0,0.54,0,0,0,0,0,0,0,0.72
06/01/02,125,0.54,27.05,28.55,27.8,18.38,-3.27,2.49,2.87,2.68,-0.56,0.62,-0.54,-6.12,0,0,0.54,0,0,0,0,0,0,0,0.72
06/01/02,126,0.54,26.62,28.25,27.44,17.77,-3.43,2.77,2.98,2.98,-0.24,0.66,-0.46,-6.25,0,0,0.54,0,0,0,0,0,0,0,0.72
06/01/02,127,0.54,26.56,28.04,27.3,18.81,-2.95,2.64,2.64,2.77,-0.24,0.65,-0.68,-5.46,0,0,0.54,0,0,0,0,0,0,0,0.72
06/01/02,128,0.54,26.69,28.01,27.35,20.49,-2.01,1.96,1.57,1.04,-1.39,0.54,-1.33,-4.35,0,0,0.54,0,0.03,4.11,0,0,0,0,0.71
06/01/02,129,0.54,27.51,28.86,28.19,22.89,1.56,-0.75,-2.28,-5.76,-5.88,0.15,-3.47,-3.21,0,0,0.54,0,0.19,22.01,0,0,0,0,0.71
06/01/02,130,0.54,29.06,30.08,29.57,25.59,4.81,-3.41,-5.31,-10.54,-8.41,-0.22,-4.33,-2.39,0,0,0.54,0,0.31,32.66,0,0,0,0,0.71
06/01/02,131,0.54,30.54,31.08,30.81,28.23,6.21,-4.88,-6.03,-10.89,-7.93,-0.41,-3.42,-1.59,0,0,0.54,0,0.34,30.88,0,0,0,0,0.71
06/01/02,132,0.54,31.62,31.84,31.73,30.33,6.73,-5.75,-5.51,-9.98,-7.09,-0.52,-2.12,-0.89,0,0,0.54,0,0.36,26.27,0,0,0,0,0.7
06/01/02,133,0.54,32.41,32.55,32.48,31.75,7.11,-6.57,-5.12,-9.78,-7.06,-0.63,-1.26,-0.45,0,0,0.54,0,0.38,24.74,0,0,0,0,0.7
06/01/02,134,0.54,33.2,33.28,33.24,32.33,7.45,-7.34,-5.04,-10.24,-7.56,-0.75,-0.77,-0.59,0,0,0.54,0,0.35,25.66,0,0,0,0,0.7
06/01/02,135,0.54,33.78,34.02,33.9,32.28,7.22,-7.89,-4.89,-10.98,-8.31,-0.86,-0.48,-1.01,0,0,0.54,0,0.32,27.81,0,0,0,0,0.7
06/01/02,136,0.54,34.14,34.49,34.31,31.64,5.79,-7.56,-3.64,-9.44,-7.44,-0.83,0.28,-1.68,0,0,0.54,0,0.25,24.13,0,0,0,0,0.71
06/01/02,137,0.54,33.84,34.23,34.04,30.61,2.74,-5.39,-0.12,-4.18,-4.25,-0.54,1.96,-2.18,0,0,0.54,0,0.11,10.33,0,0,0,0,0.71
06/01/02,138,0.54,33.29,33.93,33.61,29.08,1.06,-3.9,1.8,-2.19,-3.9,-0.35,2.02,-2.87,0,0,0.54,0,0.07,6.67,0,0,0,0,0.71
06/01/02,139,0.54,32.57,33.4,32.98,27.27,-0.97,-1.96,4.08,0.64,-2.59,-0.08,2.48,-3.63,0,0,0.54,0,0,0,0,0,0,0,0.71
06/01/02,140,0.54,31.9,32.98,32.44,25.35,-1.75,-0.96,4.53,1.5,-2.62,0.07,1.71,-4.51,0,0,0.54,0,0,0,0,0,0,0,0.72
06/01/02,141,0.54,31.18,32.6,31.89,23.54,-2.33,-0.01,4.72,2.16,-2.39,0.23,1.19,-5.3,0,0,0.54,0,0,0,0,0,0,0,0.72
